,track_id,artist_name,track_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_type,uri,track_href,analysis_url,duration_ms,time_signature
457,2Bs4jQEGMycglOfWPBqrVG,One Direction,Steal My Girl,80,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,audio_features,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/tracks/2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/audio-analysis/2Bs4jQEGMycglOfWPBqrVG,228133,4
458,2afCBiru10AFckfOa49wIa,One Direction,You & I,77,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,audio_features,spotify:track:2afCBiru10AFckfOa49wIa,https://api.spotify.com/v1/tracks/2afCBiru10AFckfOa49wIa,https://api.spotify.com/v1/audio-analysis/2afCBiru10AFckfOa49wIa,237933,4
459,5T7ZFtCcOgkpjxcuaeZbw0,One Direction,Best Song Ever,77,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107,4
460,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,84,"['dance pop', 'pop']",0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178627,4
461,1Yk0cQdMLx5RzzFTYwmuld,Adele,Hello,74,"['british soul', 'pop', 'pop soul', 'uk pop']",0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,spotify:track:1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/tracks/1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/audio-analysis/1Yk0cQdMLx5RzzFTYwmuld,295502,4
462,5z2aQl5Kn9N2B6mwOfdXlx,Duncan Laurence,Heaven Is a Hand to Hold,43,['dutch pop'],0.452,0.715,1,-6.278,1,0.0406,0.156,5.1e-05,0.0825,0.492,139.783,audio_features,spotify:track:5z2aQl5Kn9N2B6mwOfdXlx,https://api.spotify.com/v1/tracks/5z2aQl5Kn9N2B6mwOfdXlx,https://api.spotify.com/v1/audio-analysis/5z2aQl5Kn9N2B6mwOfdXlx,161424,4
463,6nfqlFOMiWthaOEa53uU0v,Why Don't We,Fallin’ (Adrenaline),65,"['australian pop', 'boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",0.606,0.9,0,-4.504,1,0.119,0.0101,0.0,0.075,0.233,133.963,audio_features,spotify:track:6nfqlFOMiWthaOEa53uU0v,https://api.spotify.com/v1/tracks/6nfqlFOMiWthaOEa53uU0v,https://api.spotify.com/v1/audio-analysis/6nfqlFOMiWthaOEa53uU0v,216504,4
465,7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,There's Nothing Holdin' Me Back,86,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,audio_features,spotify:track:7JJmb5XwzOO8jgpou264Ml,https://api.spotify.com/v1/tracks/7JJmb5XwzOO8jgpou264Ml,https://api.spotify.com/v1/audio-analysis/7JJmb5XwzOO8jgpou264Ml,199440,4
466,6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,Señorita,80,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800,4
467,0AS63m1wHv9n4VVRizK6Hc,Shawn Mendes,Mercy,81,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,audio_features,spotify:track:0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/tracks/0AS63m1wHv9n4VVRizK6Hc,https://api.spotify.com/v1/audio-analysis/0AS63m1wHv9n4VVRizK6Hc,208733,4
468,3zkWCteF82vJwv0hRLba76,Shawn Mendes,Stitches,80,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,audio_features,spotify:track:3zkWCteF82vJwv0hRLba76,https://api.spotify.com/v1/tracks/3zkWCteF82vJwv0hRLba76,https://api.spotify.com/v1/audio-analysis/3zkWCteF82vJwv0hRLba76,206880,4
469,27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,79,"['australian hip hop', 'pop']",0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,audio_features,spotify:track:27OeeYzk6klgBh83TSvGMA,https://api.spotify.com/v1/tracks/27OeeYzk6klgBh83TSvGMA,https://api.spotify.com/v1/audio-analysis/27OeeYzk6klgBh83TSvGMA,161385,4
470,01BC4Xj5tfsfV8DLDrma7q,Anne-Marie,Ciao Adios,64,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",0.694,0.853,7,-3.986,1,0.0934,0.136,0.0,0.322,0.501,106.098,audio_features,spotify:track:01BC4Xj5tfsfV8DLDrma7q,https://api.spotify.com/v1/tracks/01BC4Xj5tfsfV8DLDrma7q,https://api.spotify.com/v1/audio-analysis/01BC4Xj5tfsfV8DLDrma7q,199773,4
471,0pvwmAfJnszOzg2gw5wvn1,The Kid LAROI,I WISH,51,"['australian hip hop', 'pop']",0.788,0.656,8,-6.974,0,0.047,0.0375,0.0,0.127,0.549,138.981,audio_features,spotify:track:0pvwmAfJnszOzg2gw5wvn1,https://api.spotify.com/v1/tracks/0pvwmAfJnszOzg2gw5wvn1,https://api.spotify.com/v1/audio-analysis/0pvwmAfJnszOzg2gw5wvn1,125571,4
472,7E7JTt9rsLPcZcakQcTZXA,The Kid LAROI,NOT FAIR (feat. Corbin),53,"['australian hip hop', 'pop']",0.412,0.657,6,-5.535,0,0.124,0.468,0.0,0.318,0.625,76.342,audio_features,spotify:track:7E7JTt9rsLPcZcakQcTZXA,https://api.spotify.com/v1/tracks/7E7JTt9rsLPcZcakQcTZXA,https://api.spotify.com/v1/audio-analysis/7E7JTt9rsLPcZcakQcTZXA,166688,4
473,3IyqvaNhDG8xBXHDkaJKMV,The Kid LAROI,ERASE U,58,"['australian hip hop', 'pop']",0.75,0.641,7,-5.134,0,0.0353,0.0458,0.0,0.193,0.743,144.988,audio_features,spotify:track:3IyqvaNhDG8xBXHDkaJKMV,https://api.spotify.com/v1/tracks/3IyqvaNhDG8xBXHDkaJKMV,https://api.spotify.com/v1/audio-analysis/3IyqvaNhDG8xBXHDkaJKMV,109094,4
474,2DsdZx34mT4jVtnPk1eoFM,The Kid LAROI,NEED YOU MOST (So Sick),65,"['australian hip hop', 'pop']",0.63,0.707,5,-3.632,1,0.0508,0.0681,0.0,0.284,0.285,86.849,audio_features,spotify:track:2DsdZx34mT4jVtnPk1eoFM,https://api.spotify.com/v1/tracks/2DsdZx34mT4jVtnPk1eoFM,https://api.spotify.com/v1/audio-analysis/2DsdZx34mT4jVtnPk1eoFM,135227,4
